JFK,John F. Kennedy International Airport,NA
LHR,London Heathrow Airport,EU
RIO,Rio de Janeiro - All Airports,SA
SAO,São Paulo - All Airports,SA
KRK,John Paul II International Airport Kraków–Balice,EU
WAW,Warsaw Chopin Airport,EU
